state_id,architecture_name,reward,tokens,latency_s
01b5e33ab8c4635b,branch_verify_merge,1.0,3252.3333333333335,20.013583621631067
01b5e33ab8c4635b,compress_continue,1.0,1136.3333333333333,5.784850828970472
01b5e33ab8c4635b,cot,1.0,634.0,6.17275218963623
01b5e33ab8c4635b,critical_repair,1.0,3766.5,21.907561072148383
01b5e33ab8c4635b,debate_verify,1.0,2761.75,14.46716451807879
01b5e33ab8c4635b,debate_verify+compress+append_verifier,1.0,4129.0,23.833844736528892
01b5e33ab8c4635b,self_consistency_8,1.0,5346.0,52.62092671636492
01b5e33ab8c4635b,tool_verify,0.75,2013.75,14.106087784981355
01b5e33ab8c4635b,verify,0.5,1722.75,11.52205223753117
0294d9cea08dc800,branch_verify_merge,1.0,3002.6666666666665,18.124624374322593
0294d9cea08dc800,compress_continue,1.0,784.0,5.031327535708745
0294d9cea08dc800,cot,1.0,320.6,2.970747185125947
0294d9cea08dc800,critical_repair,0.25,2676.5,16.12675550649874
0294d9cea08dc800,debate_verify,1.0,2231.25,12.512166697531939
0294d9cea08dc800,debate_verify+insert+compress,1.0,3727.0,21.02975998725742
0294d9cea08dc800,self_consistency_8,1.0,2518.0,23.174978616647422
0294d9cea08dc800,tool_verify,1.0,897.25,6.075373946689069
0294d9cea08dc800,verify,0.0,904.25,6.044899457832798
03cfeb9b89d361a2,cot,0.0,1304.0,8.443161186762154
0689e79f1e5bb4c8,branch_verify_merge,0.0,4571.0,27.960375694247585
0689e79f1e5bb4c8,compress_continue,0.6666666666666666,2295.3333333333335,14.345437174352506
0689e79f1e5bb4c8,cot,1.0,1159.8,12.723005404137075
0689e79f1e5bb4c8,critical_repair,1.0,6869.25,43.29088928294368
0689e79f1e5bb4c8,critical_repair+insert+replace,1.0,7888.666666666667,47.984940967833005
0689e79f1e5bb4c8,debate_verify,0.25,4834.75,27.415048476075754
0689e79f1e5bb4c8,self_consistency_8,0.0,8704.0,94.70669370796531
0689e79f1e5bb4c8,tool_verify,0.75,3340.0,24.8422399610281
0689e79f1e5bb4c8,verify,0.25,3371.5,25.0667166642379
0761295665ceee22,branch_verify_merge,0.3333333333333333,7369.333333333333,43.43723847841223
0761295665ceee22,branch_verify_merge+append_verifier+replace,0.3333333333333333,8372.0,49.10932397283614
0761295665ceee22,compress_continue,0.0,4380.666666666667,27.661734834002953
0761295665ceee22,cot,0.0,1979.25,20.979924743063748
0761295665ceee22,critical_repair,0.0,8208.75,50.98545499937609
0761295665ceee22,debate_verify,0.0,8478.0,49.72245931066573
0761295665ceee22,self_consistency_8,0.0,9428.0,92.66381160914898
0761295665ceee22,tool_verify,0.25,5293.0,36.08791628712788
0761295665ceee22,verify,0.0,4239.0,28.01153145148419
076fae96b8658fff,branch_verify_merge,0.0,2419.0,13.078792848313848
076fae96b8658fff,compress_continue,0.6666666666666666,636.6666666666666,3.0002740183845162
076fae96b8658fff,cot,1.0,413.8,3.4665622690692546
076fae96b8658fff,critical_repair,0.25,3160.5,17.81657365569845
076fae96b8658fff,debate_verify,0.25,2201.75,10.900129877729341
076fae96b8658fff,self_consistency_8,1.0,3328.0,28.012821070849895
